lon,lat,depth,strike,dip,dz1,dz2,dz3,thickness
121.23,16.31,171.46,19.12,58.19,18.37,2.78,2.79,56.15
121.22,16.29,171.46,19.08,58.26,18.53,2.77,2.87,56.03
121.21,16.27,171.46,19.04,58.34,18.69,2.77,2.95,55.91
121.20,16.25,171.46,19.02,58.41,18.84,2.76,3.03,55.78
121.20,16.23,171.46,19.00,58.48,18.99,2.75,3.11,55.65
121.19,16.21,171.46,18.98,58.55,19.13,2.75,3.19,55.52
121.18,16.19,171.46,18.97,58.62,19.26,2.74,3.27,55.39
121.18,16.17,171.46,18.97,58.69,19.38,2.73,3.35,55.25
121.17,16.16,171.46,18.96,58.76,19.50,2.73,3.03,55.11
121.16,16.14,171.46,18.95,58.83,19.62,2.72,2.72,54.97
121.15,16.12,171.46,18.95,58.90,19.73,2.71,2.40,54.83
121.15,16.10,171.46,18.94,58.96,19.83,2.71,2.08,54.68
121.14,16.08,171.46,18.93,59.03,19.92,2.70,1.77,54.53
121.13,16.06,171.46,18.91,59.09,20.01,2.69,1.45,54.38
121.13,16.04,171.46,18.89,59.15,20.10,2.68,1.13,54.22
121.12,16.02,171.46,18.86,59.21,20.18,2.67,0.81,54.06
121.11,16.00,171.46,18.83,59.26,20.25,2.67,0.49,53.90
121.10,15.98,171.46,18.79,59.32,20.32,2.66,0.17,53.74
121.10,15.96,171.46,18.74,59.37,20.39,2.65,0.11,53.58
121.09,15.94,171.46,18.69,59.42,20.46,2.64,0.18,53.41
121.08,15.92,171.46,18.62,59.47,20.52,2.63,0.25,53.25
121.08,15.90,171.46,18.55,59.52,20.59,2.63,0.32,53.08
121.07,15.88,171.46,18.47,59.57,20.65,2.62,0.38,52.91
121.06,15.86,171.46,18.38,59.62,20.71,2.61,0.44,52.74
121.06,15.84,171.46,18.27,59.67,20.77,2.60,0.50,52.57
121.05,15.82,171.46,18.16,59.71,20.82,2.59,0.55,52.40
121.04,15.80,171.46,18.04,59.76,20.88,2.58,0.60,52.23
121.04,15.78,171.46,17.91,59.81,20.94,2.58,0.64,52.06
121.03,15.76,171.46,17.78,59.86,21.00,2.57,0.58,51.90
121.02,15.74,171.46,17.63,59.91,21.06,2.56,0.30,51.73
121.02,15.72,171.46,17.47,59.96,21.12,2.55,0.03,51.57
121.01,15.70,171.46,17.30,60.01,21.19,2.54,-0.26,51.40
121.00,15.68,171.46,17.12,60.06,21.25,2.53,-0.55,51.25
121.00,15.66,171.46,16.93,60.12,21.31,2.53,-0.85,51.09
120.99,15.64,171.46,16.74,60.18,21.38,2.52,-1.16,50.94
120.98,15.62,171.46,16.53,60.25,21.45,2.51,-1.48,50.79
120.98,15.60,171.46,16.31,60.31,21.52,2.50,-1.81,50.64
120.97,15.59,171.46,16.09,60.39,21.59,2.50,-2.14,50.50
120.97,15.57,171.46,15.85,60.46,21.67,2.49,-2.49,50.36
